AccumulatedDischargerPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvPower,Hora,Dia,Mes,Anio
26.4KWH (+ 26.4 KWH) ,95.7KWH (+ 95.7 KWH) ,26.4KWH (+ 26.4 KWH) ,23.6KWH (+ 23.6 KWH) ,02:13:13 p.m,29,enero,2020
28KWH (+ 1.6 KWH) ,97.2KWH (+ 1.5 KWH) ,28KWH (+ 1.6 KWH) ,24KWH (+ 0.4 KWH) ,10:51:29 p.m,29,enero,2020
28KWH (+ 0.0 KWH) ,97.2KWH (+ 0.0 KWH) ,28KWH (+ 0.0 KWH) ,24KWH (+ 0.0 KWH) ,10:56:31 p.m,29,enero,2020
28KWH (+ 0.0 KWH) ,97.3KWH (+ 0.1 KWH) ,28KWH (+ 0.0 KWH) ,24KWH (+ 0.0 KWH) ,11:01:31 p.m,29,enero,2020
28KWH (+ 0.0 KWH) ,97.3KWH (+ 0.0 KWH) ,28KWH (+ 0.0 KWH) ,24KWH (+ 0.0 KWH) ,11:06:31 p.m,29,enero,2020
28KWH (+ 0.0 KWH) ,97.3KWH (+ 0.0 KWH) ,28KWH (+ 0.0 KWH) ,24KWH (+ 0.0 KWH) ,11:11:31 p.m,29,enero,2020
28.1KWH (+ 0.1 KWH) ,97.3KWH (+ 0.0 KWH) ,28.1KWH (+ 0.1 KWH) ,24KWH (+ 0.0 KWH) ,11:16:31 p.m,29,enero,2020
28.8KWH (+ 0.7 KWH) ,99.3KWH (+ 2.0 KWH) ,28.8KWH (+ 0.7 KWH) ,24.2KWH (+ 0.2 KWH) ,08:50:46 a.m,30,enero,2020
28.8KWH (+ 0.0 KWH) ,99.3KWH (+ 0.0 KWH) ,28.8KWH (+ 0.0 KWH) ,24.2KWH (+ 0.0 KWH) ,08:55:47 a.m,30,enero,2020
28.8KWH (+ 0.0 KWH) ,99.3KWH (+ 0.0 KWH) ,28.8KWH (+ 0.0 KWH) ,24.3KWH (+ 0.1 KWH) ,09:00:47 a.m,30,enero,2020
28.8KWH (+ 0.0 KWH) ,99.3KWH (+ 0.0 KWH) ,28.8KWH (+ 0.0 KWH) ,24.3KWH (+ 0.0 KWH) ,09:05:47 a.m,30,enero,2020
28.9KWH (+ 0.1 KWH) ,99.3KWH (+ 0.0 KWH) ,28.9KWH (+ 0.1 KWH) ,24.4KWH (+ 0.1 KWH) ,09:10:47 a.m,30,enero,2020
28.9KWH (+ 0.0 KWH) ,99.4KWH (+ 0.1 KWH) ,28.9KWH (+ 0.0 KWH) ,24.4KWH (+ 0.0 KWH) ,09:15:48 a.m,30,enero,2020
28.9KWH (+ 0.0 KWH) ,99.4KWH (+ 0.0 KWH) ,28.9KWH (+ 0.0 KWH) ,24.5KWH (+ 0.1 KWH) ,09:20:48 a.m,30,enero,2020
28.9KWH (+ 0.0 KWH) ,99.4KWH (+ 0.0 KWH) ,28.9KWH (+ 0.0 KWH) ,24.5KWH (+ 0.0 KWH) ,09:25:48 a.m,30,enero,2020
28.9KWH (+ 0.0 KWH) ,99.4KWH (+ 0.0 KWH) ,28.9KWH (+ 0.0 KWH) ,24.6KWH (+ 0.1 KWH) ,09:30:48 a.m,30,enero,2020
28.9KWH (+ 0.0 KWH) ,99.4KWH (+ 0.0 KWH) ,28.9KWH (+ 0.0 KWH) ,24.6KWH (+ 0.0 KWH) ,09:35:48 a.m,30,enero,2020
28.9KWH (+ 0.0 KWH) ,99.4KWH (+ 0.0 KWH) ,28.9KWH (+ 0.0 KWH) ,24.6KWH (+ 0.0 KWH) ,09:40:48 a.m,30,enero,2020
28.9KWH (+ 0.0 KWH) ,99.4KWH (+ 0.0 KWH) ,28.9KWH (+ 0.0 KWH) ,24.7KWH (+ 0.1 KWH) ,09:45:48 a.m,30,enero,2020
