Battery voltage,Grid voltage,BUS voltage,Control current,Inverter current,Grid current,Battery voltage,PInverter,AC radiator temperature,Batt power,Batt current,WorkState,AccumulatedChargerPower,AccumulatedDischargerPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvPower,BatteryRelay,RecordTime,mes
27.1,232.4,422.3,1.4,1.1,0.0,27.1,142,42,-62,-2,OffGrid,0KWH,26.4KWH,95.7KWH,26.4KWH,23.6KWH,Connect,29/01/2020 02:13:13 p.m.,29/01/2020 02:13:13 p.m.
23.8,226.6,368.2,1.7,1.5,0.0,23.8,157,52,221,9,OffGrid,0KWH,28KWH,97.2KWH,28KWH,24KWH,Disconnect,29/01/2020 10:51:29 p.m.,29/01/2020 10:51:29 p.m.
23.8,228.2,367.8,1.7,1.5,0.0,23.8,155,52,219,9,OffGrid,0KWH,28KWH,97.2KWH,28KWH,24KWH,Disconnect,29/01/2020 10:56:31 p.m.,29/01/2020 10:56:31 p.m.
23.7,224.9,367.2,1.7,1.5,0.0,23.7,159,52,223,9,OffGrid,0KWH,28KWH,97.3KWH,28KWH,24KWH,Disconnect,29/01/2020 11:01:31 p.m.,29/01/2020 11:01:31 p.m.
23.7,227.3,367.1,1.7,1.5,0.0,23.7,156,52,220,9,OffGrid,0KWH,28KWH,97.3KWH,28KWH,24KWH,Disconnect,29/01/2020 11:06:31 p.m.,29/01/2020 11:06:31 p.m.
23.5,228.6,362.7,1.7,1.5,0.0,23.5,287,51,363,15,OffGrid,0KWH,28KWH,97.3KWH,28KWH,24KWH,Disconnect,29/01/2020 11:11:31 p.m.,29/01/2020 11:11:31 p.m.
23.4,226.8,361.9,1.6,1.4,0.0,23.4,274,50,349,14,OffGrid,0KWH,28.1KWH,97.3KWH,28.1KWH,24KWH,Disconnect,29/01/2020 11:16:31 p.m.,29/01/2020 11:16:31 p.m.
26.7,232.6,429.0,0.0,0.0,0.7,26.7,0,37,-429,-16,Grid charging,0KWH,28.8KWH,99.3KWH,28.8KWH,24.2KWH,Connect,30/01/2020 08:50:46 a.m.,30/01/2020 08:50:46 a.m.
27.2,232.9,433.5,0.0,0.0,3.7,27.2,0,34,-514,-18,Grid charging,0KWH,28.8KWH,99.3KWH,28.8KWH,24.2KWH,Connect,30/01/2020 08:55:47 a.m.,30/01/2020 08:55:47 a.m.
26.6,229.7,413.6,1.4,1.1,0.0,26.6,282,34,-241,-9,OffGrid,0KWH,28.8KWH,99.3KWH,28.8KWH,24.3KWH,Connect,30/01/2020 09:00:47 a.m.,30/01/2020 09:00:47 a.m.
26.8,230.7,415.9,1.3,1.0,0.0,26.8,273,36,-272,-10,OffGrid,0KWH,28.8KWH,99.3KWH,28.8KWH,24.3KWH,Connect,30/01/2020 09:05:47 a.m.,30/01/2020 09:05:47 a.m.
26.9,232.4,418.1,1.3,1.0,0.0,26.9,267,36,-300,-11,OffGrid,0KWH,28.9KWH,99.3KWH,28.9KWH,24.4KWH,Connect,30/01/2020 09:10:47 a.m.,30/01/2020 09:10:47 a.m.
